"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Ene 2019","2.704,10","2.476,96","2.708,95","2.443,96","-","7,87%"
"Dic 2018","2.506,85","2.790,50","2.800,18","2.346,58","-","-9,18%"
"Nov 2018","2.760,17","2.717,58","2.815,15","2.631,09","-","1,79%"
"Oct 2018","2.711,74","2.926,29","2.939,86","2.603,54","-","-6,94%"
"Sep 2018","2.913,98","2.896,96","2.940,91","2.864,12","-","0,43%"
"Ago 2018","2.901,52","2.821,17","2.916,50","2.796,34","-","3,03%"
"Jul 2018","2.816,29","2.704,95","2.848,03","2.698,95","-","3,60%"
"Jun 2018","2.718,37","2.718,70","2.791,47","2.691,99","-","0,48%"
"May 2018","2.705,27","2.643,64","2.742,24","2.594,62","-","2,16%"
"Abr 2018","2.648,05","2.633,45","2.717,49","2.553,80","-","0,27%"
"Mar 2018","2.640,87","2.715,22","2.801,90","2.585,89","-","-2,69%"
"Feb 2018","2.713,83","2.816,45","2.835,96","2.532,69","-","-3,89%"
"Ene 2018","2.823,81","2.683,73","2.872,87","2.682,36","-","5,62%"