"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2020","3,729.97","3,763.21","3,796.27","3,729.86","-","-0.88%"
"May 18, 2020","3,763.21","3,622.15","3,782.21","3,622.15","-","3.89%"
"May 15, 2020","3,622.15","3,641.64","3,680.11","3,611.36","-","-0.54%"
"May 14, 2020","3,641.64","3,604.91","3,669.15","3,534.32","-","1.02%"
"May 13, 2020","3,604.91","3,734.75","3,737.09","3,542.98","-","-3.48%"
"May 12, 2020","3,734.75","3,811.75","3,863.03","3,734.28","-","-2.02%"
"May 11, 2020","3,811.75","3,818.24","3,856.62","3,793.50","-","-0.17%"
"May 08, 2020","3,818.24","3,999.54","4,026.75","3,818.24","-","-4.53%"
"May 07, 2020","3,999.54","3,964.94","4,036.99","3,964.94","-","0.87%"
"May 06, 2020","3,964.94","3,922.40","3,992.32","3,922.40","-","1.08%"
"May 05, 2020","3,922.40","3,853.27","3,946.60","3,853.27","-","1.79%"
"May 04, 2020","3,853.27","3,977.56","3,980.42","3,829.37","-","-3.12%"
"Apr 30, 2020","3,977.56","4,014.70","4,017.47","3,943.62","-","-0.93%"
"Apr 29, 2020","4,014.70","3,900.92","4,020.21","3,900.92","-","2.92%"
"Apr 28, 2020","3,900.92","3,810.89","3,925.36","3,810.89","-","2.34%"
"Apr 27, 2020","3,811.71","3,679.67","3,811.73","3,679.67","-","3.59%"
"Apr 24, 2020","3,679.67","3,748.49","3,754.16","3,679.28","-","-1.84%"
"Apr 23, 2020","3,748.49","3,678.50","3,748.84","3,678.50","-","1.90%"
"Apr 22, 2020","3,678.50","3,652.87","3,716.16","3,652.87","-","0.70%"
"Apr 21, 2020","3,652.87","3,748.31","3,748.31","3,645.38","-","-2.55%"
"Apr 20, 2020","3,748.31","3,819.61","3,822.83","3,748.24","-","-1.87%"